allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average,PCA_Component_1,PCA_Component_2,PCA_Component_3,PCA_Component_4,Hardness
286.0,40.747992,42.8,5.0,102.82756,9.1302,2.182,1.93,1.29,0.447885,5.0988,4.382396585251549,0.25026764584537126,0.37280437480209005,0.6608872644349296,3.3
100.0,15.55,50.0,4.0,117.386335,9.65936,2.24,2.0975,1.1800000000000002,0.447885,7.316,5.529243463962728,0.28174742364217825,1.068836148846046,0.20914128664137907,2.5
50.0,3.253996,10.0,5.0,20.016938,12.18425,2.752,1.6880000000000002,0.945,0.499726,0.68417,-1.0649236168909566,-0.22810935851573283,-0.5221874129358054,0.06153990672305782,3.3
96.0,8.42666,12.0,4.75,24.50301875,11.1479375,2.705,1.765,0.945,0.49463625,1.76405,-0.48852110396699056,-0.24966646389488106,-0.41412762239343615,-0.2711783693034118,5.0
114.0,11.463996000000002,18.0,4.4,40.689515,11.11696,2.7380000000000004,1.7420000000000002,0.928,0.474714,2.2928,0.1756323606587331,0.2587294144210749,-0.06869696112910069,0.014914728866764267,6.0
112.0,13.044328,22.0,4.666666666666667,50.61352,11.63995,2.8266666666666667,1.7166666666666668,0.915,0.4747266666666667,2.18789,0.43809276946616565,0.4248361380620087,0.21226656682870298,0.3908148031524455,5.8
82.0,19.382,31.1,4.8,74.71870600000003,9.65936,2.0200000000000005,1.904,1.1840000000000002,0.448895,6.64,3.365998063664012,0.3647385120933402,0.3535614575005121,-0.8568374524078707,2.5
72.0,1.7431599999999998,8.0,4.8,16.862137999999998,11.509916,2.825,1.626,0.828,0.4874375,0.67922,-1.577787095415411,0.24314457631859937,-0.3310951529276774,-0.01664365366996376,6.0
46.0,7.134331999999999,11.6,4.8,23.231818,11.11696,2.7960000000000003,1.7020000000000004,0.86,0.4927359999999999,1.95335,-0.8065764796159965,0.08863897738968349,-0.09383255569930275,-0.33961538890027515,6.0
43.0,7.4428315,8.6,4.0,17.7903568,11.43734,2.755,1.6310000000000002,0.828,0.498984,0.56349,-1.5838725333532493,0.0898929258318102,-0.22836299410733946,0.07208628454358505,2.5
128.0,11.463996000000002,12.8,4.8,26.385218,11.38168,2.81,1.7400000000000002,0.86,0.49282,1.26278,-0.7746038908811951,-0.04972800311839357,-0.2406954079252582,0.027422650439916887,6.3
106.0,11.463996000000002,35.36,4.8,72.2365,10.13144,2.352,1.8200000000000005,1.104,0.475566,5.50017,2.831222217227448,0.33647976514433464,0.8233115392006101,-0.19751942722727073,2.0
144.0,15.55,48.0,4.0,116.3255,10.39875,2.24,2.015,1.1800000000000002,0.448895,7.775,5.358905198252165,0.5125405097484165,1.2763478667561863,-0.03708293750595538,2.0
236.18,24.574384,23.6,4.8,49.204038,10.59066,2.7060000000000004,1.8590000000000004,0.958,0.4673040000000001,4.28689,1.3495736161279328,0.23719231580267092,0.1860388653349884,-0.5172566555953683,2.0
30.0,1.7428315,6.0,4.0,11.7051,11.7051,2.6725000000000003,1.495,0.71,0.6184925,0.69207,-2.686288108006371,-0.8351538219147977,1.3470206393591662,-0.045570660124370055,2.5
362.0,3.883996,8.7,4.7,16.862137999999998,11.95216,2.682,1.495,0.71,0.491678,0.61167,-2.1065942005466898,0.7430002700480687,0.25763996641172354,0.12491408035919321,5.5
126.0,13.385996,25.2,5.6,58.30341800000001,11.61422,2.884,1.736,0.944,0.467568,4.57578,1.383993969304145,0.6786116676709023,0.6806195058721437,-0.3651434523305656,2.8
100.0,8.841328,10.0,5.333333333333333,20.325236749666672,11.754416666666666,2.938333333333333,1.7166666666666668,0.8933333333333332,0.4966916666666667,0.8488,-1.0825139362216527,-0.17414640040636103,-0.4563469581828283,-0.004330375897445745,6.5
80.0,5.686908,10.0,5.0,20.255278375,11.70255,2.79,1.66,0.8525,0.4931925,0.86162,-1.2767299764640914,0.09074120877571504,-0.2761335252960183,0.022365285681917556,6.3
90.0,11.437322,21.5,4.0,50.1811,10.0743,2.53,1.825,1.165,0.4789899999999999,1.24533,0.9911676098028338,-0.40823738536196885,-0.7498734631660837,0.65250833590197,3.0
66.0,4.542664,12.666666666666664,4.666666666666667,26.621686666666665,11.354766666666668,2.806666666666666,1.75,0.98,0.4865066666666666,1.24267,-0.455493927094945,-0.19251018278351972,-0.6011694032163623,0.0011737483658784897,5.8
144.0,8.941324,12.0,4.8,24.033618,11.17714,2.675,1.736,0.936,0.491678,0.85401,-0.767415098972264,-0.19762360677216623,-0.5459451244747582,0.11152236717754897,6.0
196.0,20.855328,24.66666666666667,4.666666666666667,53.05033333333333,11.795966666666668,2.8480000000000003,1.7283333333333335,0.98,0.4736966666666666,4.57578,1.316600652297711,0.5398659674568023,0.5978444897341838,-0.4750496885158121,6.0
100.0,7.558488000000001,8.0,5.0,16.583821666666665,12.415846666666669,2.77,1.4508333333333334,0.71,0.6184925,0.65972,-2.5968223581332355,-0.6735467082985261,1.541220324012375,0.14549386505879872,3.5
151.0,22.98,50.33333333333334,4.333333333333333,121.02273333333332,8.5318,2.043333333333333,2.0766666666666667,1.366666666666667,0.4169199999999999,0.75193,4.653106483726138,-0.11141265954837366,-0.852896570201533,2.955058580071881,1.8
108.0,7.558488000000001,10.8,4.8,21.654418,10.59066,2.684,1.7880000000000005,0.958,0.498454,0.4966,-0.8135156908255009,-0.5112683098161674,-0.7697104197578505,0.1483879921556879,6.0
92.0,6.697992,9.2,4.8,18.439538,11.79886,2.805,1.656,0.8480000000000001,0.4991960000000001,0.51772,-1.4594691636443955,-0.008650293017289661,-0.3101456528547627,0.1091365720227815,3.5
256.0,23.627328,12.0,4.625,24.514919904761907,11.1994,2.782857142857144,1.7265625,0.8503448275862068,0.493379375,0.91457,-0.9734321609334491,-0.049493062101131385,-0.2963666468186222,0.1182437933683985,5.5
82.0,13.385996,23.6,4.8,49.204038,11.33044,2.884,1.736,0.946,0.4673040000000001,2.62853,0.7171447169476118,0.45841177351329176,0.14300197369536866,0.22738804210199262,6.0
108.0,11.463996000000002,44.0,5.6,108.295515,10.75912,2.572,1.796,1.028,0.476196,5.00311,3.5478096320248746,0.7217761190556975,1.5966948385404311,0.9671723350371431,2.0
108.0,18.20589925,18.0,4.0,37.346215,11.4348,2.79,1.732,0.98,0.4862650000000001,2.37558,0.20371430315900227,0.05638160448662452,-0.07954668987613839,-0.07728307101975729,6.0
43.0,7.44274775,10.75,3.75,22.212725,12.18425,2.7275,1.545,0.71,0.61443,1.06784,-2.084429268755273,-0.7989993741866848,1.5235867056940988,0.13113143139282665,5.0
131.0,26.745328000000004,15.5,5.0,33.47491111111115,11.2869,2.786666666666666,1.7166666666666668,0.8933333333333332,0.4865066666666666,1.70155,-0.36932171115511647,0.13423713044083405,-0.08957271873263332,0.06777221889776179,5.5
116.0,8.337992,10.4,4.8,21.9893120372,10.73364,2.6184,1.66,0.91,0.491714,0.49717,-1.1654393770163933,-0.000975196283045154,-0.46334788096454826,0.20417271779156443,5.5
92.0,8.147992,8.92,4.7,16.497559999999996,12.20004,2.8280000000000003,1.648,0.694,0.498984,0.77525,-1.8341401439482363,0.269405945952259,0.07849678436371284,-0.0032115433108079717,3.8
30.0,2.3326640000000003,10.333333333333334,5.333333333333333,20.02735333333333,11.795966666666668,2.9266666666666663,1.7133333333333336,0.8066666666666666,0.4995066666666667,1.42823,-1.166303096049905,-0.011548931551523643,-0.10455616555702256,-0.2147243016942893,7.0
30.0,2.70174775,7.5,4.0,14.996859625,11.7051,2.6725000000000003,1.495,0.71,0.6184925,0.56215,-2.5859699912538123,-0.816414998294114,1.3985564805329986,0.12034097533959788,3.8
246.0,24.150564000000003,23.0,4.8,49.204038,10.59066,2.644,1.7775000000000003,0.946,0.48827,3.1504,0.822209662204282,0.12731975091679085,0.3426551582122892,-0.02170106965811601,2.8
250.0,14.7341515,12.8,4.8,25.386556894,11.14446,2.352,1.732,0.8640000000000001,0.4820359999999999,1.22872,-0.7739311592548482,0.0893239754351964,-0.3537427550378515,0.023193786341986967,3.8
56.0,9.683996,12.8,4.8,26.385218,11.38168,2.8240000000000003,1.682,0.8240000000000001,0.48855,1.83476,-0.8320405838265418,0.2677862906118849,0.03495186726439232,-0.17690981502009176,2.5
106.0,19.189144,22.8,4.8,47.3154225304,11.61422,2.8240000000000003,1.711,0.9229999999999998,0.483071455,3.17705,0.6175684397974328,0.40288071920978613,0.4629316770911962,-0.03885682214947595,4.5
58.0,7.441332000000001,18.0,5.0,39.466738,10.59066,2.545,1.765,0.905,0.476095,1.05605,-0.1365659222574587,0.10521115444307358,-0.3087394527484902,0.5015800550406601,7.3
80.0,7.734660000000001,10.0,4.0,20.255278375,11.026725,2.79,1.6725,0.8525,0.495275,1.02525,-1.222693188730853,0.044566674592576565,-0.250167559736698,-0.05016228902494122,7.5
96.0,15.55,48.0,2.0,116.3255,10.39875,2.24,2.015,1.1800000000000002,0.448895,7.66,5.333367115845492,0.5028922336537602,1.2536752588369184,0.010512859799112305,3.0
128.0,20.415992000000006,12.8,4.8,26.385218,11.38168,2.81,1.7400000000000002,0.98,0.489272,3.52072,0.024790694600528025,-0.006859060867647048,-0.10418570260858767,-0.9348607858156862,6.0
196.0,26.090000000000003,24.5,4.5,53.4902975,9.8771,2.295,1.825,1.12,0.4743239999999999,4.74,1.8718596427549397,0.05698775391163186,0.11455144444041944,-0.616231651801091,2.5
55.0,9.577996,11.6,4.8,23.170338,12.0034,2.8280000000000003,1.662,0.782,0.4930319999999999,1.12352,-1.2562143146276032,0.2493662848156027,0.006787968302104486,0.03813784786336141,2.8
6.0,1.7,6.0,4.0,11.663548,11.70255,2.58,1.495,0.71,0.49954,0.58543,-2.3551379437265516,0.5955668385619725,0.19657665722339865,-0.050744689459837816,10.0
131.0,20.855328,21.0,4.666666666666667,50.54252,11.706466666666666,2.806666666666666,1.7133333333333336,0.92,0.4737466666666667,4.5665,0.9275655481949485,0.6274512717863473,0.6404194733484433,-0.6329597084801722,5.8
235.0,24.70666,23.5,5.5,65.80676874999999,11.6604875,2.9225000000000003,1.68,1.1,0.47382125,3.08833,1.3604807749346968,0.40436439868921786,0.2478696473099448,0.3044708769347593,1.8
296.0,17.215328,28.1904761904762,5.0,67.4408980952381,11.565052380952382,2.76,1.70952380952381,0.9642857142857144,0.4604228571428571,3.47589,1.4636233566117018,0.7849966977103866,0.5881218334820816,0.3612102103640975,3.0
108.0,11.351332,36.0,6.0,90.2267,10.629,2.675,1.745,0.9559999999999998,0.47907,3.3354,2.2005525579916085,0.6419445717307277,1.1491128132110102,1.0908062453852854,2.5
74.0,20.362,24.66666666666667,4.0,53.05033333333333,9.159866666666668,2.18,1.913333333333333,1.2133333333333332,0.4488266666666667,4.52755,2.2930912653370443,-0.04513250172509926,-0.568042267311812,-0.6001507255583685,3.8
114.0,14.883996000000002,12.8,5.6,26.1647257,10.565180000000002,2.708,1.648,0.8800000000000001,0.4927359999999999,2.8386,-0.5566351233575307,0.3062718953525238,0.21260840724125413,-0.5912436184448624,6.0
202.0,22.81264,20.2,5.6,47.3154225304,11.38168,2.81,1.7420000000000002,0.86,0.478464,3.52072,0.49660362635528843,0.4753443532524071,0.4986530579028545,-0.2823736856125891,6.0
96.0,13.35,12.0,4.0,24.50301875,10.629,2.545,1.925,0.905,0.4911100000000001,1.25093,-0.38148051780913683,-0.6309605231120541,-0.7906478513775217,-0.1238742462061867,3.8
347.0,32.73539975,42.25,5.375,93.8846,9.370384,2.53,1.8153125,1.01125,0.4391649999999999,5.56317,3.4356758925790465,1.1075086703248969,1.1420913947561913,0.40800136326387443,3.5
80.0,7.734660000000001,10.0,5.0,20.255278375,11.026725,2.79,1.6725,0.8525,0.495275,0.73425,-1.287315640733826,0.020152341170446158,-0.30753911542806245,0.07027577198179558,7.5
100.0,8.885992,10.0,4.8,20.077018,11.33044,2.754,1.7420000000000002,0.86,0.498454,0.94589,-1.102098509317581,-0.20612725997925474,-0.3997664738336221,-0.05208484287285139,5.5
108.0,7.134331999999999,10.5,4.8,21.654418,11.17714,2.7270000000000003,1.767,0.91,0.498454,0.7176,-0.9333696514826385,-0.36158589068081115,-0.5802215568476662,0.06550849964010974,6.0
66.0,9.577996,13.8,4.8,27.188418,10.629,2.572,1.79,0.956,0.4660609999999999,1.50239,-0.25514597269391215,0.017357679655165565,-0.7362159144534858,-0.07481755440442824,5.5
86.0,5.203996,11.6,4.8,22.521871850000004,11.43734,2.752,1.727,0.946,0.490932,0.80631,-0.8150978896900558,-0.1941762528913155,-0.5944530832699749,0.09235788205446699,3.5
42.0,5.401996,20.4,4.8,43.498522,12.59399,2.8280000000000003,1.66399999999998,0.946,0.475954,2.32089,0.23369008485946585,0.47046364786883554,0.16511475398582667,0.1735632914877364,5.0
136.0,8.359328,10.83333333333336,5.166666666666667,20.02735333333333,11.749633333333335,2.806666666666666,1.7166666666666668,0.89,0.4966916666666667,0.74511,-1.0806632108022156,-0.17072524952565976,-0.45077163905262674,0.06613800111210581,5.5
224.0,10.065992,11.6,4.8,23.170338,10.98774,2.752,1.7420000000000002,0.8699999999999999,0.4931705,1.10889,-0.8960229313071684,-0.11456441909128025,-0.36320666555091524,-0.011254567645097387,6.0
196.0,30.92,24.5,5.5,53.4902975,9.273855,2.295,1.88,1.14,0.4697149999999999,0.99311,1.206728163128673,-0.38582439170127475,-0.8283893660994885,0.9033600137238273,3.8
100.0,15.43,50.0,4.0,117.386335,9.01375,2.295,2.045,1.36,0.42668,0.45758,4.400147992669263,-0.17553730653455155,-0.787592662605779,3.023281551049816,2.5
124.0,21.124328,22.83333333333333,4.666666666666667,47.98568666666667,11.408266666666668,2.9266666666666663,1.7566666666666666,0.98,0.4722666666666666,5.118,1.3185926679715119,0.48309294542438574,0.5258245745449386,-0.8673008706418533,2.8
72.0,10.209328,12.0,4.666666666666667,24.654186666666664,11.754416666666666,2.915,1.7033333333333334,0.8233333333333333,0.4940200000000001,1.17448,-1.024226705426351,0.07232200496233661,-0.12711970749842888,0.029694896692467738,6.0
200.0,17.053984,10.0,4.0,20.322035645125,12.4096875,2.81875,1.60125,0.91,0.4927189999999999,0.77105,-1.2689560179574653,0.16143432226931823,-0.3069997281709056,0.07473980867704257,5.3
6.0,1.7,6.0,4.0,12.0096,11.2603,2.55,1.7,0.75,0.49954,0.13266,-1.9611993961184953,-0.07302941603352034,-0.40772415471305246,0.0408843157997134,10.0
185.0,11.351332,27.6,4.8,65.80676874999999,11.026725,2.53,1.88,0.944,0.4775399999999999,3.8764,1.7220685672585052,0.15706876760738145,0.4863673989104843,0.07996774109031239,3.8
80.0,7.736488,8.888888888888891,4.4444444444444455,17.774554444444444,11.458755555555555,2.8522222222222213,1.7266666666666666,0.8277777777777778,0.4801544444444445,1.06784,-1.2200197455030486,0.09771719389054377,-0.4991813621290109,-0.17682977843351694,8.5
93.0,26.090000000000003,31.1,4.8,69.59212799999999,9.65936,1.98,1.907,1.1925,0.448895,6.46538,3.2595401030809596,0.3051716310847548,0.23438734554709426,-0.8733138876641531,2.3
108.0,8.337992,10.0,4.8,20.077018,11.33044,2.7060000000000004,1.6780000000000002,0.914,0.498984,0.70966,-1.1493222174835995,-0.14000371262979341,-0.4316298179060488,0.06301474619384913,6.0
38.0,8.359328,18.666666666666668,5.333333333333333,41.08166000000001,11.354766666666668,2.806666666666666,1.7233333333333334,0.92,0.4865066666666666,2.8386,0.24452047336268554,0.23455687814565898,0.23003714143139878,-0.16398240892487798,6.5
62.0,6.394996,20.33333333333333,4.666666666666667,46.52035333333333,11.234699999999998,2.865,1.7166666666666668,0.92,0.4878333333333333,1.95335,0.2073106624840418,0.2037124902060398,0.18822286117913825,0.3602764678443426,4.3
46.0,5.191326,17.713971397139716,4.631578947368421,40.00710326190475,10.88956585365854,2.872631578947369,1.7146341463414634,0.9406349206349206,0.4781242105263158,4.57578,0.6246677055028366,0.45909230215866526,0.4265201276842425,-0.9412488820460257,5.8
56.0,7.558488000000001,10.6,4.8,20.2988926326,12.04083,2.752,1.6880000000000002,0.9380000000000002,0.4927189999999999,1.8288,-0.7738121374327661,-0.02902644336784906,-0.3280327019977688,-0.3859298633232697,3.8
92.0,7.558488,9.96,4.44,18.5465357192,12.04083,2.825,1.626,0.9368,0.4927189999999999,0.69519,-1.2085694805689362,0.03563156464044459,-0.45644914593436664,0.05791193462718636,6.0
100.0,7.558488,10.0,4.8,20.2988926326,12.04083,2.755,1.6309999999999998,0.828,0.5570996000000001,0.67383,-1.6228522839412036,-0.579192115211982,0.4104646483169846,0.14543081796186788,5.5
100.0,7.558488000000001,10.6,4.8,20.793611398,11.33182,2.826,1.6800000000000002,0.8640000000000001,0.4991960000000001,0.74876,-1.2164909205490175,-0.056732548367818755,-0.28755293200341453,0.09182744545427197,5.5
98.0,15.593,49.0,5.0,119.6295,9.05335,2.24,2.015,1.1800000000000002,0.448895,8.795,5.691825121079176,0.6228893045859086,1.5416495142640758,-0.36596703281590803,2.3
100.0,20.29466,28.8,5.6,67.9394,10.75912,2.904,1.904,1.165,0.4673040000000001,3.26959,2.2872581165950505,-0.1641292909816928,-0.2309074143406107,0.3489452771212358,2.5
86.0,5.62148,8.6,4.8,17.7903568,12.59399,2.68,1.592,0.7380000000000001,0.5900399999999999,0.58344,-2.141811881992553,-0.7602316755877366,0.9272900559616477,0.13843539258162924,4.3
68.0,6.017992000000003,13.6,4.8,29.568292,12.30176,2.884,1.654,0.774,0.499726,1.70601,-0.9723667846701577,0.30064449677959815,0.3461606123016483,-0.011794569602842987,3.5
192.0,13.385996,15.2,4.8,31.937418,11.14446,2.7740000000000005,1.7280000000000002,0.9,0.4820359999999999,1.15072,-0.48253908570686654,0.09025254937702627,-0.3050536204307273,0.25023527837398546,6.0
108.0,1.7957991999999998,10.8,4.8,21.82420185,11.023840000000002,2.644,1.794,0.96,0.499514,0.79955,-0.7300291362687341,-0.5177271951597517,-0.7150593149150525,0.02311612045595393,5.8
219.0,41.181992,24.66666666666667,4.4444444444444455,57.08166000000001,11.634466666666668,2.953333333333333,1.7333333333333334,0.9155555555555556,0.4705633333333334,4.57578,1.2549529507239723,0.6839080592955027,0.7517639506110122,-0.39720161695426465,6.0
112.0,13.897328,17.2,4.8,39.466738,11.64556,2.752,1.676,0.912,0.478464,1.89676,-0.1473085458258794,0.37517052710733606,0.028052532887302518,0.1628138159703211,5.3
176.0,9.93196,8.88,4.4,18.5863611398,11.33044,2.7060000000000004,1.6780000000000002,0.892,0.4911100000000001,0.48629,-1.3068261488434645,-0.04644906114666632,-0.5464564146889527,0.08947403805906355,6.0
70.0,5.815328000000001,10.0,4.571428571428571,20.323313857142857,12.6117142857143,2.6128571428571425,1.6414285714285717,0.8842857142857142,0.4939185714285714,0.51006,-1.3151543009686688,0.05411319906407966,-0.3718912072446651,0.1707298119991256,2.3
138.0,16.676996,10.0,4.8,20.077018,11.33044,2.7960000000000003,1.7280000000000002,0.8800000000000001,0.498454,0.93524,-1.0833648053327645,-0.19974784193416117,-0.4185101061601228,-0.04572974078210165,3.8
70.0,3.555328,4.666666666666667,3.2,8.808713333333333,13.51252,2.668,1.3186666666666669,0.5053333333333333,0.7623686666666668,0.13389,-4.18223546595698,-1.837076949030164,3.3708093235354197,0.2697509189865487,2.3
108.0,16.864992,31.1,5.0,70.86454624999998,9.1312,1.985,1.88,1.1949999999999998,0.467568,3.958,2.6244900325675804,-0.05447591047003772,-0.017525288228559744,0.20495969055802057,2.5
38.0,10.082327,12.666666666666664,4.666666666666667,26.621686666666665,11.496916666666666,2.825,1.7266666666666666,0.8083333333333332,0.4865066666666666,1.31763,-0.8946015161522355,0.14965420023614998,-0.14437796276591958,0.01836704907339201,6.3
242.0,59.27039175,11.6,4.6,24.085483,12.22274,2.68,1.592,0.836,0.59942625,1.7909,-1.413983167519572,-0.8693391709219325,1.180841854596518,-0.1594960800503658,5.0
58.0,6.542664,19.33333333333333,4.666666666666667,39.987666666666655,11.8264,2.33,1.7,0.92,0.4463566666666667,1.02525,-0.07217227597360393,0.6347970615209374,-0.4550255059576006,0.5878516449008612,2.5
82.0,12.33742425,35.0,5.5,83.46173333333333,9.6769,2.295,1.97,1.36,0.42668,3.88539,3.7076987374516115,0.01928172697406886,-0.7385299777920264,0.5003204912764865,2.8
86.0,6.674328,14.5,5.166666666666667,30.645953666333327,11.522283333333334,2.865,1.7166666666666668,0.8933333333333332,0.48449,1.47116,-0.5121745324020471,0.11669233639410626,-0.21287130695603454,0.07695608237617674,4.8
92.0,10.207992,11.3,4.75,22.212725,10.93895,2.755,1.7420000000000002,0.91,0.4907199999999999,0.93396,-0.8630633567235791,-0.1700302775520077,-0.5314856680994609,0.0239476418569831,6.8
86.0,8.841328,14.333333333333336,5.333333333333333,30.61252,11.354766666666668,2.806666666666666,1.7166666666666668,0.89,0.4821566666666666,1.35155,-0.5480169010833015,0.1383737690805491,-0.2557061575813482,0.1193213316380403,5.5
100.0,10.207996,10.0,4.8,20.2988926326,11.33044,2.682,1.743,0.86,0.4927359999999999,0.94771,-1.0786285923084917,-0.13853430554126628,-0.4532059481277043,-0.051926089311838446,6.0
50.0,5.401996,10.0,4.8,20.016938,12.30176,2.774,1.648,0.8800000000000001,0.491714,1.0804,-1.1851983261137715,0.11579289990079251,-0.2877754524638704,-0.07336603149398291,5.5
622.0,41.060299,22.4,4.8,50.1811,10.993994000000002,2.757,1.736,0.944,0.467568,4.57578,1.1067008134318663,0.6143490348695524,0.5138395325659736,-0.6074664135089551,5.5
100.0,5.203996,10.0,4.8,20.2988926326,11.17714,2.755,1.6309999999999998,0.86,0.4927389999999999,0.67383,-1.3538241023383129,0.14932075778176088,-0.2736890813782224,0.1121062329283385,5.5
110.0,23.0,50.33333333333334,4.666666666666667,121.02273333333332,8.604266666666666,2.073333333333333,2.0966666666666662,1.366666666666667,0.42632,7.715,6.209577049508492,0.30348108064981455,0.567413138358747,0.06799963864280278,2.5
80.0,7.558488000000001,10.0,4.8,20.2988926326,12.04083,2.755,1.75,0.91,0.4927189999999999,0.7176,-0.9965442595817555,-0.2560279957814517,-0.6279008301382983,0.02916790188091183,5.5
58.0,11.874,19.33333333333333,4.0,39.987666666666655,9.5408,2.33,1.88,1.1366666666666667,0.4878333333333333,1.36058,0.7416795693128488,-0.6809122367897916,-0.8670018988960171,0.3370391224740798,5.8
222.0,41.181992,25.88888888888889,4.4444444444444455,57.08166000000001,11.132102222222226,2.8377777777777777,1.7633333333333334,0.9733333333333332,0.47783,4.5665,1.4831367162920222,0.43268422552400676,0.655949615514655,-0.3700126081172219,6.0
